word,kelas,panjang,definisi,clue
MASYARAKAT,benda,10,sejumlah manusia dalam arti seluas-luasnya dan terikat oleh suatu kebudayaan yang mereka a,
DEPARTEMEN,benda,10,cabang pekerjaan yang dikepalai oleh manajer tunggal,
TEROWONGAN,benda,10,tembusan dalam tanah atau gunung (untuk jalan kereta api dan sebagainya),Jalan gelap bawah tanah
HELIKOPTER,benda,10,pesawat udara dengan baling-baling besar di atas yang berputar horizontal lalu mempercepat,Capung besi
KOMUNIKASI,benda,10,perhubungan,Pertukaran pesan antarorang
ORGANISASI,benda,10,strategi yang dimanfaatkan dalam upaya memperbesar kinerja memori,Kelompok terstruktur bersama
SEKRETARIS,benda,10,"orang (pegawai, anggota pengurus) yang diserahi pekerjaan tulis-menulis, surat-menyurat, d",Pengurus surat kantor
MATEMATIKA,benda,10,"ilmu tentang bilangan, hubungan antara bilangan, dan prosedur operasional yang digunakan d",Ilmu hitung angka
KONFERENSI,benda,10,rapat atau pertemuan untuk berunding atau bertukar pendapat mengenai suatu masalah yang di,Pertemuan bahas isu bersama
KONFIRMASI,benda,10,penegasan; pengesahan; pembenaran,
DINOSAURUS,benda,10,binatang raksasa dari zaman prasejarah yang termasuk kelompok reptilia bumi (pemakan dagin,
EKSPERIMEN,benda,10,percobaan yang bersistem dan berencana (untuk membuktikan kebenaran suatu teori dan sebaga,
ELEKTRONIK,benda,10,alat yang dibuat berdasarkan prinsip elektronika; hal atau benda yang menggunakan alat-ala,
KONSTRUKSI,benda,10,susunan dan hubungan kata dalam kalimat atau kelompok kata,
KONSPIRASI,benda,10,komplotan; persekongkolan,
ALTERNATIF,benda,10,pilihan di antara dua atau beberapa kemungkinan,
INTEROGASI,benda,10,pertanyaan,
METROPOLIS,benda,10,metropolitan,Kota besar modern
NARAPIDANA,benda,10,orang hukuman (orang yang sedang menjalani hukuman karena tindak pidana); terhukum,Penghuni sel penjara
MASTURBASI,benda,10,stimulasi organ seks oleh diri sendiri,
PRESENTASI,benda,10,pemberian (tentang hadiah),Paparan pakai slide
KONTRAKTOR,benda,10,pemborong; anemer,Pemborong proyek bangunan
FOTOGRAFER,benda,10,juru foto; tukang potret; pemotret; juru potret,Pengambil gambar profesional
VEGETARIAN,benda,10,"orang yang (karena alasan keagamaan atau kesehatan) tidak makan daging dan ikan, tetapi mu",Pantang makan daging
SERTIFIKAT,benda,10,tanda atau surat keterangan (pernyataan) tertulis atau tercetak dari orang yang berwenang,Surat bukti kelulusan
HALUSINASI,benda,10,"pengalaman indra tanpa adanya perangsang pada alat indra yang bersangkutan, misalnya mende",Melihat yang tak nyata
PARANORMAL,benda,10,"orang yang mempunyai kemampuan dalam memahami, mengetahui, dan memercayai hal-hal yang tid",Orang berindra keenam
KOMPENSASI,benda,10,ganti rugi,Ganti rugi kerugian
PERMAISURI,benda,10,istri raja,Istri sah sang raja
PERSPEKTIF,benda,10,sudut pandang; pandangan,Cara memandang suatu hal
MALAPETAKA,benda,10,kecelakaan; kesengsaraan; musibah; bencana,
INSTRUKTUR,benda,10,orang yang bertugas mengajarkan sesuatu dan sekaligus memberikan latihan dan bimbingannya;,
GELANGGANG,benda,10,"medan perang (pertempuran, perjuangan)",
KONSULTASI,benda,10,"pertukaran pikiran untuk mendapatkan kesimpulan (nasihat, saran, dan sebagainya) yang seba",
INTEGRITAS,benda,10,"mutu, sifat, atau keadaan yang menunjukkan kesatuan yang utuh sehingga memiliki potensi da",
KONSTITUSI,benda,10,undang-undang dasar suatu negara,
KONTRIBUSI,benda,10,sumbangan,
ANTIBIOTIK,benda,10,"zat kimia yang dihasilkan oleh berbagai mikroorganisme, bakteri tertentu, fungi, dan aktin",
ARSITEKTUR,benda,10,metode dan gaya rancangan suatu konstruksi bangunan,
DISTRIBUSI,benda,10,semua posisi yang ditempati oleh unsur bahasa,
PUBLISITAS,benda,10,penyiaran tentang sesuatu atau seseorang kepada masyarakat luas (melalui pelbagai media),
FORMALITAS,benda,10,sekadar mengikuti tata cara; basa-basi,
MODIFIKASI,benda,10,perubahan,
PUSTAKAWAN,benda,10,orang yang bekerja dalam bidang perpustakaan; ahli perpustakaan,
KOMPLIKASI,benda,10,percampuran yang kusut (dari berbagai hal); kerumitan,
MANIPULASI,benda,10,penggelapan; penyelewengan,
INTERVENSI,benda,10,upaya untuk meningkatkan kesehatan atau mengubah penyebaran penyakit,
TEMPERATUR,benda,10,panas dinginnya badan atau hawa; suhu,
PROSTITUSI,benda,10,pertukaran hubungan seksual dengan uang atau hadiah sebagai suatu transaksi perdagangan; p,
TERMINATOR,benda,10,garis yang memisahkan cahaya siang dan malam dilihat dari atas permukaan bumi,
PROPAGANDA,benda,10,"reklame (seperti menawarkan obat, barang dagangan, dan sebagainya)",
PORNOGRAFI,benda,10,bahan bacaan yang dengan sengaja dan semata-mata dirancang untuk membangkitkan nafsu berah,
